Ticker,Name,FloatShares
1925.T,大和ハウス工業,
1928.T,積水ハウス,
2502.T,アサヒグループホールディングス,
2503.T,キリンホールディングス,
2802.T,味の素,
2914.T,日本たばこ産業,
3382.T,セブン＆アイ・ホールディングス,
3407.T,旭化成,
4063.T,信越化学工業,
4188.T,三菱ケミカルグループ,
4307.T,野村総合研究所,
4452.T,花王,
4502.T,武田薬品工業,
4503.T,アステラス製薬,
4507.T,塩野義製薬,
4519.T,中外製薬,
4543.T,テルモ,
4568.T,第一三共,
4578.T,大塚ホールディングス,
4661.T,オリエンタルランド,
4689.T,ＬＩＮＥヤフー,
4901.T,富士フイルムホールディングス,
5020.T,ＥＮＥＯＳホールディングス,
5108.T,ブリヂストン,
5401.T,日本製鉄,
5802.T,住友電気工業,
5803.T,フジクラ,
6098.T,リクルートホールディングス,
6146.T,ディスコ,
6178.T,日本郵政,
6273.T,ＳＭＣ,
6301.T,小松製作所,
6326.T,クボタ,
6367.T,ダイキン工業,
6501.T,日立製作所,
6503.T,三菱電機,
6701.T,日本電気,
6702.T,富士通,
6723.T,ルネサスエレクトロニクス,
6752.T,パナソニック　ホールディングス,
6758.T,ソニーグループ,
6762.T,ＴＤＫ,
6857.T,アドバンテスト,
6861.T,キーエンス,
6902.T,デンソー,
6920.T,レーザーテック,
6954.T,ファナック,
6971.T,京セラ,
6981.T,村田製作所,
7011.T,三菱重工業,
7182.T,ゆうちょ銀行,
7203.T,トヨタ自動車,
7267.T,本田技研工業,
7269.T,スズキ,
7270.T,ＳＵＢＡＲＵ,
7309.T,シマノ,
7733.T,オリンパス,
7741.T,ＨＯＹＡ,
7751.T,キヤノン,
7832.T,バンダイナムコホールディングス,
7936.T,アシックス,
7974.T,任天堂,
8001.T,伊藤忠商事,
8002.T,丸紅,
8015.T,豊田通商,
8031.T,三井物産,
8035.T,東京エレクトロン,
8053.T,住友商事,
8058.T,三菱商事,
8113.T,ユニ・チャーム,
8267.T,イオン,
8306.T,三菱ＵＦＪフィナンシャル・グループ,
8308.T,りそなホールディングス,
8309.T,三井住友トラストグループ,
8316.T,三井住友フィナンシャルグループ,
8411.T,みずほフィナンシャルグループ,
8591.T,オリックス,
8604.T,野村ホールディングス,
8630.T,ＳＯＭＰＯホールディングス,
8697.T,日本取引所グループ,
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,
8729.T,ソニーフィナンシャルグループ,
8750.T,第一ライフグループ,
8766.T,東京海上ホールディングス,
8801.T,三井不動産,
8802.T,三菱地所,
8830.T,住友不動産,
9020.T,東日本旅客鉄道,
9021.T,西日本旅客鉄道,
9022.T,東海旅客鉄道,
9101.T,日本郵船,
9104.T,商船三井,
9202.T,ＡＮＡホールディングス,
9432.T,ＮＴＴ,
9433.T,ＫＤＤＩ,
9434.T,ソフトバンク,
9735.T,セコム,
9983.T,ファーストリテイリング,
9984.T,ソフトバンクグループ,
